Filename,NDW.span
SR1_FGTD_C00022_P2Y4W2,75
SR1_FGTD_C00125_P2Y4W2,102
SR1_FGTD_C00142_P2Y4W2,87
SR1_FGTD_C00167_P2Y4W2,86
SR1_FGTD_C00445_P2Y3W2,46
SR1_FGTD_C00552_P2Y3W2,105
SR1_FGTD_C00589_P2Y3W2,88
SR1_FGTD_C01336_P2Y3W2,55
SR1_FGTD_C02277_P2Y4W2,49
SR1_FOHO_C00015_P2Y3W1,79
SR1_FOHO_C00020_P2Y3W1,96
SR1_FOHO_C00022_P2Y3W1,73
SR1_FOHO_C00026_P2Y3W1,57
SR1_FOHO_C00027_P2Y3W1,61
SR1_FOHO_C00031_P2Y3W1,99
SR1_FOHO_C00048_P2Y3W1,64
SR1_FOHO_C00049_P2Y3W1,142
SR1_FOHO_C00055_P2Y3W1,88
SR1_FOHO_C00067_P2Y3W1,90
SR1_FOHO_C00077_P2Y3W1,103
SR1_FOHO_C00082_P2Y3W1,115
SR1_FOHO_C00090_P2Y3W1,132
SR1_FOHO_C00094_P2Y3W1,98
SR1_FOHO_C00119_P2Y3W1,114
SR1_FOHO_C00125_P2Y3W1,86
SR1_FOHO_C00126_P2Y3W1,89
SR1_FOHO_C00127_P2Y3W1,101
SR1_FOHO_C00135_P2Y3W1,67
SR1_FOHO_C00137_P2Y3W1,112
SR1_FOHO_C00141_P2Y3W1,91
SR1_FOHO_C00142_P2Y3W1,98
SR1_FOHO_C00146_P2Y3W1,125
SR1_FOHO_C00147_P2Y3W1,128
SR1_FOHO_C00148_P2Y3W1,89
SR1_FOHO_C00152_P2Y3W1,116
SR1_FOHO_C00167_P2Y3W1,79
SR1_FOHO_C00172_P2Y3W1,106
SR1_FOHO_C00178_P2Y3W1,104
SR1_FOHO_C00179_P2Y3W1,128
SR1_FOHO_C00182_P2Y3W1,112
SR1_FOHO_C00183_P2Y3W1,133
SR1_FOHO_C00188_P2Y3W1,67
SR1_FOHO_C00189_P2Y3W1,60
SR1_FOHO_C00191_P2Y3W1,56
SR1_FOHO_C00192_P2Y3W1,70
SR1_FOHO_C00198_P2Y3W1,82
SR1_FOHO_C00201_P2Y3W1,79
SR1_FOHO_C00209_P2Y3W1,102
SR1_FOHO_C00226_P2Y3W1,61
SR1_FOHO_C00231_P2Y3W1,116
SR1_FOHO_C00235_P2Y3W1,59
SR1_FOHO_C00237_P2Y3W1,65
SR1_FOHO_C00275_P2Y3W1,103
SR1_FOHO_C00372_P2Y3W1,141
SR1_FOHO_C00375_P2Y3W1,161
SR1_FOHO_C00376_P2Y3W1,129
SR1_FOHO_C00379_P2Y3W1,119
SR1_FOHO_C00384_P2Y3W1,116
