Filename,NTW.eng
ER1_FGTD_C00022_P2Y4W2,168
ER1_FGTD_C00125_P2Y4W2,313
ER1_FGTD_C00142_P2Y4W2,247
ER1_FGTD_C00167_P2Y4W2,313
ER1_FGTD_C02277_P2Y4W2,144
ER1_FOHO_C00015_P2Y3W1,237
ER1_FOHO_C00020_P2Y3W1,304
ER1_FOHO_C00022_P2Y3W1,260
ER1_FOHO_C00026_P2Y3W1,178
ER1_FOHO_C00027_P2Y3W1,226
ER1_FOHO_C00031_P2Y3W1,305
ER1_FOHO_C00048_P2Y3W1,137
ER1_FOHO_C00049_P2Y3W1,489
ER1_FOHO_C00055_P2Y3W1,213
ER1_FOHO_C00067_P2Y3W1,221
ER1_FOHO_C00077_P2Y3W1,367
ER1_FOHO_C00082_P2Y3W1,271
ER1_FOHO_C00090_P2Y3W1,480
ER1_FOHO_C00094_P2Y3W1,349
ER1_FOHO_C00119_P2Y3W1,417
ER1_FOHO_C00125_P2Y3W1,154
ER1_FOHO_C00126_P2Y3W1,160
ER1_FOHO_C00127_P2Y3W1,480
ER1_FOHO_C00135_P2Y3W1,201
ER1_FOHO_C00137_P2Y3W1,248
ER1_FOHO_C00141_P2Y3W1,267
ER1_FOHO_C00142_P2Y3W1,244
ER1_FOHO_C00146_P2Y3W1,195
ER1_FOHO_C00147_P2Y3W1,249
ER1_FOHO_C00148_P2Y3W1,142
ER1_FOHO_C00152_P2Y3W1,453
ER1_FOHO_C00167_P2Y3W1,420
ER1_FOHO_C00172_P2Y3W1,193
ER1_FOHO_C00178_P2Y3W1,213
ER1_FOHO_C00179_P2Y3W1,310
ER1_FOHO_C00182_P2Y3W1,443
ER1_FOHO_C00183_P2Y3W1,456
ER1_FOHO_C00188_P2Y3W1,273
ER1_FOHO_C00189_P2Y3W1,193
ER1_FOHO_C00191_P2Y3W1,180
ER1_FOHO_C00192_P2Y3W1,249
ER1_FOHO_C00198_P2Y3W1,289
ER1_FOHO_C00201_P2Y3W1,201
ER1_FOHO_C00209_P2Y3W1,278
ER1_FOHO_C00226_P2Y3W1,219
ER1_FOHO_C00231_P2Y3W1,424
ER1_FOHO_C00235_P2Y3W1,170
ER1_FOHO_C00237_P2Y3W1,370
ER1_FOHO_C00275_P2Y3W1,462
ER1_FOHO_C00372_P2Y3W1,563
ER1_FOHO_C00375_P2Y3W1,544
ER1_FOHO_C00376_P2Y3W1,358
ER1_FOHO_C00379_P2Y3W1,359
ER1_FOHO_C00384_P2Y3W1,183
ER1_FOHO_C00388_P2Y3W1,184
ER1_FOHO_C00392_P2Y3W1,260
ER1_FOHO_C00393_P2Y3W1,344
ER1_FOHO_C00401_P2Y3W1,489
ER1_FOHO_C00409_P2Y3W1,230
ER1_FOHO_C00423_P2Y3W1,285
ER1_FOHO_C00433_P2Y3W1,371
ER1_FOHO_C00439_P2Y3W1,345
ER1_FOHO_C00445_P2Y3W1,183
ER1_FOHO_C00466_P2Y3W1,213
ER1_FOHO_C00476_P2Y3W1,412
ER1_FOHO_C00507_P2Y3W1,446
ER1_FOHO_C00523_P2Y3W1,232
ER1_FOHO_C00552_P2Y3W1,276
ER1_FOHO_C00564_P2Y3W1,289
ER1_FOHO_C00589_P2Y3W1,217
ER1_FOHO_C00598_P2Y3W1,246
ER1_FOHO_C00600_P2Y3W1,234
ER1_FOHO_C00605_P2Y3W1,202
ER1_FOHO_C00633_P2Y3W1,311
ER1_FOHO_C00642_P2Y3W1,346
ER1_FOHO_C00652_P2Y3W1,392
ER1_FOHO_C00657_P2Y3W1,236
ER1_FOHO_C00672_P2Y3W1,280
ER1_FOHO_C00683_P2Y3W1,310
ER1_FOHO_C00692_P2Y3W1,223
ER1_FOHO_C00741_P2Y3W1,457
ER1_FOHO_C00748_P2Y3W1,304
ER1_FOHO_C00753_P2Y3W1,247
ER1_FOHO_C00790_P2Y3W1,280
ER1_FOHO_C00793_P2Y3W1,271
ER1_FOHO_C00826_P2Y3W1,86
ER1_FOHO_C00828_P2Y3W1,235
ER1_FOHO_C00837_P2Y3W1,506
ER1_FOHO_C00853_P2Y3W1,474
ER1_FOHO_C00857_P2Y3W1,208
ER1_FOHO_C00919_P2Y3W1,203
ER1_FOHO_C00931_P2Y3W1,292
ER1_FOHO_C00973_P2Y3W1,370
ER1_FOHO_C00976_P2Y3W1,265
ER1_FOHO_C00992_P2Y3W1,460
ER1_FOHO_C00999_P2Y3W1,447
ER1_FOHO_C01003_P2Y3W1,610
ER1_FOHO_C01006_P2Y3W1,469
ER1_FOHO_C01018_P2Y3W1,480
ER1_FOHO_C01031_P2Y3W1,160
ER1_FOHO_C01053_P2Y3W1,251
ER1_FOHO_C01056_P2Y3W1,279
ER1_FOHO_C01078_P2Y3W1,318
ER1_FOHO_C01094_P2Y3W1,210
ER1_FOHO_C01103_P2Y3W1,288
ER1_FOHO_C01104_P2Y3W1,313
ER1_FOHO_C01108_P2Y3W1,302
ER1_FOHO_C01121_P2Y3W1,287
ER1_FOHO_C01125_P2Y3W1,252
ER1_FOHO_C01127_P2Y3W1,236
ER1_FOHO_C01160_P2Y3W1,401
ER1_FOHO_C01162_P2Y3W1,344
ER1_FOHO_C01171_P2Y3W1,277
ER1_FOHO_C01185_P2Y3W1,293
ER1_FOHO_C01211_P2Y3W1,215
ER1_FOHO_C01222_P2Y3W1,314
ER1_FOHO_C01226_P2Y3W1,445
ER1_FOHO_C01262_P2Y3W1,102
ER1_FOHO_C01265_P2Y3W1,278
ER1_FOHO_C01294_P2Y3W1,185
ER1_FOHO_C01298_P2Y3W1,270
ER1_FOHO_C01336_P2Y3W1,406
ER1_FOHO_C02230_P2Y3W1,352
ER1_FOHO_C02232_P2Y3W1,289
ER1_FOHO_C02234_P2Y3W1,224
ER1_FOHO_C02239_P2Y3W1,175
ER1_FOHO_C02255_P2Y3W1,203
ER1_FOHO_C02262_P2Y3W1,266
ER1_FOHO_C02267_P2Y3W1,219
ER1_FOHO_C02274_P2Y3W1,184
ER1_FOHO_C02276_P2Y3W1,266
ER1_FOHO_C02277_P2Y3W1,124
ER1_FOHO_C02278_P2Y3W1,160
ER1_FOHO_C02279_P2Y3W1,226
ER1_FOHO_C02282_P2Y3W1,261
ER1_FOHO_C02287_P2Y3W1,148
ER1_FOHO_C02295_P2Y3W1,212
ER1_FOHO_C02297_P2Y3W1,226
ER1_FOHO_C02315_P2Y3W1,126
ER1_FOHO_C02325_P2Y3W1,282
ER1_FOHO_C02335_P2Y3W1,235
ER1_FOHO_C02351_P2Y3W1,134
ER1_FOHO_C02352_P2Y3W1,190
ER1_FOHO_C02356_P2Y3W1,207
ER1_FOHO_C02359_P2Y3W1,142
ER1_FOHO_C02363_P2Y3W1,278
ER1_FOHO_C02364_P2Y3W1,148
ER1_FOHO_C02365_P2Y3W1,463
ER1_FOHO_C02368_P2Y3W1,144
ER1_FOHO_C02373_P2Y3W1,287
ER1_FOHO_C02376_P2Y3W1,249
ER1_FOHO_C02378_P2Y3W1,377
ER1_FOHO_C02381_P2Y3W1,183
ER1_FOHO_C02383_P2Y3W1,258
ER1_FOHO_C02384_P2Y3W1,269
ER1_FOHO_C02386_P2Y3W1,253
ER1_FOHO_C02388_P2Y3W1,211
ER1_FOHO_C02389_P2Y3W1,337
ER1_FOHO_C02397_P2Y3W1,332
ER1_FOHO_C02415_P2Y3W1,173
ER1_FOHO_C02416_P2Y3W1,212
ER1_FOHO_C02423_P2Y3W1,225
ER1_FOHO_C02425_P2Y3W1,174
ER1_FOHO_C02426_P2Y3W1,201
ER1_FOHO_C02434_P2Y3W1,279
ER1_FOHO_C02442_P2Y3W1,350
ER1_FOHO_C02443_P2Y3W1,308
ER1_FOHO_C02448_P2Y3W1,269
ER1_FOHO_C02449_P2Y3W1,240
ER1_FOHO_C02450_P2Y3W1,286
ER1_FOHO_C02475_P2Y3W1,236
ER1_FOHO_C02476_P2Y3W1,380
ER1_FOHO_C02478_P2Y3W1,358
ER1_FOHO_C02479_P2Y3W1,172
ER1_FOHO_C02481_P2Y3W1,316
ER1_FOHO_C02482_P2Y3W1,425
ER1_FOHO_C02483_P2Y3W1,197
ER1_FOHO_C02484_P2Y3W1,130
ER1_FOHO_C02488_P2Y3W1,144
ER1_FOHO_C02489_P2Y3W1,269
ER1_FOHO_C02492_P2Y3W1,202
ER1_FOHO_C02493_P2Y3W1,251
ER1_FOHO_C02496_P2Y3W1,246
ER1_FOHO_C02498_P2Y3W1,291
ER1_FOHO_C02502_P2Y3W1,307
ER1_FOHO_C02503_P2Y3W1,220
ER1_FOHO_C02506_P2Y3W1,163
ER1_FOHO_C02507_P2Y3W1,115
ER1_FOHO_C02551_P2Y3W1,296
ER1_FOHO_C02552_P2Y3W1,212
ER1_FOHO_C02576_P2Y3W1,238
ER1_FOHO_C02579_P2Y3W1,199
ER1_FOHO_C02588_P2Y3W1,270
ER1_FOHO_C02594_P2Y3W1,205
ER1_FOHO_C02596_P2Y3W1,248
ER1_FOHO_C02599_P2Y3W1,198
ER1_FOHO_C02619_P2Y3W1,308
ER1_FOHO_C02626_P2Y3W1,69
ER1_FOHO_C02637_P2Y3W1,134
ER1_FOHO_C02640_P2Y3W1,253
ER1_FOHO_C02645_P2Y3W1,116
ER1_FOHO_C02647_P2Y3W1,190
ER1_FOHO_C02651_P2Y3W1,166
ER1_FOHO_C02661_P2Y3W1,201
ER1_FOHO_C02663_P2Y3W1,181
ER1_FOHO_C02808_P2Y3W1,229
ER1_FOHO_C02834_P2Y3W1,344
ER1_FOHO_C03008_P2Y3W1,293
ER1_FOHO_C03012_P2Y3W1,214
ER1_FWAY_C00022_P2Y4W1,216
ER1_FWAY_C00125_P2Y4W1,198
ER1_FWAY_C00142_P2Y4W1,243
ER1_FWAY_C00167_P2Y4W1,328
ER1_FWAY_C02277_P2Y4W1,280
ER1_OFTM_C00015_P2Y3W2,296
ER1_OFTM_C00020_P2Y3W2,464
ER1_OFTM_C00022_P2Y3W2,176
ER1_OFTM_C00026_P2Y3W2,220
ER1_OFTM_C00027_P2Y3W2,356
ER1_OFTM_C00031_P2Y3W2,328
ER1_OFTM_C00048_P2Y3W2,231
ER1_OFTM_C00049_P2Y3W2,370
ER1_OFTM_C00055_P2Y3W2,288
ER1_OFTM_C00067_P2Y3W2,158
ER1_OFTM_C00077_P2Y3W2,271
ER1_OFTM_C00082_P2Y3W2,247
ER1_OFTM_C00090_P2Y3W2,336
ER1_OFTM_C00094_P2Y3W2,296
ER1_OFTM_C00119_P2Y3W2,256
ER1_OFTM_C00125_P2Y3W2,103
ER1_OFTM_C00126_P2Y3W2,245
ER1_OFTM_C00127_P2Y3W2,475
ER1_OFTM_C00135_P2Y3W2,299
ER1_OFTM_C00137_P2Y3W2,313
ER1_OFTM_C00141_P2Y3W2,223
ER1_OFTM_C00142_P2Y3W2,327
ER1_OFTM_C00146_P2Y3W2,252
ER1_OFTM_C00147_P2Y3W2,294
ER1_OFTM_C00148_P2Y3W2,195
ER1_OFTM_C00152_P2Y3W2,454
ER1_OFTM_C00167_P2Y3W2,383
ER1_OFTM_C00172_P2Y3W2,196
ER1_OFTM_C00178_P2Y3W2,289
ER1_OFTM_C00179_P2Y3W2,351
ER1_OFTM_C00182_P2Y3W2,360
ER1_OFTM_C00183_P2Y3W2,637
ER1_OFTM_C00188_P2Y3W2,359
ER1_OFTM_C00189_P2Y3W2,238
ER1_OFTM_C00191_P2Y3W2,242
ER1_OFTM_C00192_P2Y3W2,217
ER1_OFTM_C00198_P2Y3W2,277
ER1_OFTM_C00201_P2Y3W2,221
ER1_OFTM_C00209_P2Y3W2,342
ER1_OFTM_C00226_P2Y3W2,206
ER1_OFTM_C00231_P2Y3W2,507
ER1_OFTM_C00235_P2Y3W2,241
ER1_OFTM_C00237_P2Y3W2,507
ER1_OFTM_C00275_P2Y3W2,529
ER1_OFTM_C00372_P2Y3W2,382
ER1_OFTM_C00375_P2Y3W2,459
ER1_OFTM_C00376_P2Y3W2,292
ER1_OFTM_C00379_P2Y3W2,188
ER1_OFTM_C00384_P2Y3W2,191
ER1_OFTM_C00388_P2Y3W2,205
ER1_OFTM_C00392_P2Y3W2,173
ER1_OFTM_C00393_P2Y3W2,462
ER1_OFTM_C00401_P2Y3W2,381
ER1_OFTM_C00409_P2Y3W2,304
ER1_OFTM_C00423_P2Y3W2,265
ER1_OFTM_C00433_P2Y3W2,290
ER1_OFTM_C00439_P2Y3W2,316
ER1_OFTM_C00445_P2Y3W2,175
ER1_OFTM_C00466_P2Y3W2,330
ER1_OFTM_C00476_P2Y3W2,276
ER1_OFTM_C00507_P2Y3W2,334
ER1_OFTM_C00523_P2Y3W2,106
ER1_OFTM_C00552_P2Y3W2,267
ER1_OFTM_C00564_P2Y3W2,302
ER1_OFTM_C00589_P2Y3W2,276
ER1_OFTM_C00598_P2Y3W2,335
ER1_OFTM_C00600_P2Y3W2,222
ER1_OFTM_C00605_P2Y3W2,280
ER1_OFTM_C00633_P2Y3W2,188
ER1_OFTM_C00642_P2Y3W2,327
ER1_OFTM_C00652_P2Y3W2,381
ER1_OFTM_C00657_P2Y3W2,249
ER1_OFTM_C00672_P2Y3W2,321
ER1_OFTM_C00683_P2Y3W2,351
ER1_OFTM_C00692_P2Y3W2,278
ER1_OFTM_C00741_P2Y3W2,237
ER1_OFTM_C00748_P2Y3W2,149
ER1_OFTM_C00753_P2Y3W2,373
ER1_OFTM_C00790_P2Y3W2,312
ER1_OFTM_C00793_P2Y3W2,504
ER1_OFTM_C00826_P2Y3W2,190
ER1_OFTM_C00828_P2Y3W2,198
ER1_OFTM_C00837_P2Y3W2,318
ER1_OFTM_C00853_P2Y3W2,310
ER1_OFTM_C00857_P2Y3W2,219
ER1_OFTM_C00919_P2Y3W2,256
ER1_OFTM_C00931_P2Y3W2,209
ER1_OFTM_C00973_P2Y3W2,288
ER1_OFTM_C00976_P2Y3W2,247
ER1_OFTM_C00992_P2Y3W2,836
ER1_OFTM_C00999_P2Y3W2,500
ER1_OFTM_C01003_P2Y3W2,461
ER1_OFTM_C01006_P2Y3W2,232
ER1_OFTM_C01018_P2Y3W2,278
ER1_OFTM_C01031_P2Y3W2,241
ER1_OFTM_C01053_P2Y3W2,215
ER1_OFTM_C01056_P2Y3W2,237
ER1_OFTM_C01078_P2Y3W2,273
ER1_OFTM_C01094_P2Y3W2,183
ER1_OFTM_C01103_P2Y3W2,242
ER1_OFTM_C01104_P2Y3W2,231
ER1_OFTM_C01108_P2Y3W2,308
ER1_OFTM_C01121_P2Y3W2,686
ER1_OFTM_C01125_P2Y3W2,206
ER1_OFTM_C01127_P2Y3W2,188
ER1_OFTM_C01160_P2Y3W2,251
ER1_OFTM_C01162_P2Y3W2,178
ER1_OFTM_C01171_P2Y3W2,226
ER1_OFTM_C01185_P2Y3W2,279
ER1_OFTM_C01211_P2Y3W2,224
ER1_OFTM_C01222_P2Y3W2,286
ER1_OFTM_C01226_P2Y3W2,320
ER1_OFTM_C01262_P2Y3W2,239
ER1_OFTM_C01265_P2Y3W2,268
ER1_OFTM_C01294_P2Y3W2,185
ER1_OFTM_C01298_P2Y3W2,315
ER1_OFTM_C01336_P2Y3W2,648
ER1_OFTM_C02230_P2Y3W2,284
ER1_OFTM_C02232_P2Y3W2,378
ER1_OFTM_C02234_P2Y3W2,294
ER1_OFTM_C02239_P2Y3W2,201
ER1_OFTM_C02255_P2Y3W2,262
ER1_OFTM_C02262_P2Y3W2,236
ER1_OFTM_C02267_P2Y3W2,354
ER1_OFTM_C02274_P2Y3W2,218
ER1_OFTM_C02276_P2Y3W2,169
ER1_OFTM_C02277_P2Y3W2,204
ER1_OFTM_C02278_P2Y3W2,148
ER1_OFTM_C02279_P2Y3W2,302
ER1_OFTM_C02282_P2Y3W2,228
ER1_OFTM_C02287_P2Y3W2,104
ER1_OFTM_C02295_P2Y3W2,316
ER1_OFTM_C02297_P2Y3W2,278
ER1_OFTM_C02315_P2Y3W2,210
ER1_OFTM_C02325_P2Y3W2,420
ER1_OFTM_C02335_P2Y3W2,458
ER1_OFTM_C02351_P2Y3W2,215
ER1_OFTM_C02352_P2Y3W2,335
ER1_OFTM_C02356_P2Y3W2,395
ER1_OFTM_C02359_P2Y3W2,249
ER1_OFTM_C02363_P2Y3W2,394
ER1_OFTM_C02364_P2Y3W2,283
ER1_OFTM_C02365_P2Y3W2,411
ER1_OFTM_C02368_P2Y3W2,346
ER1_OFTM_C02373_P2Y3W2,295
ER1_OFTM_C02376_P2Y3W2,254
ER1_OFTM_C02378_P2Y3W2,229
ER1_OFTM_C02381_P2Y3W2,418
ER1_OFTM_C02383_P2Y3W2,629
ER1_OFTM_C02384_P2Y3W2,479
ER1_OFTM_C02386_P2Y3W2,311
ER1_OFTM_C02388_P2Y3W2,315
ER1_OFTM_C02389_P2Y3W2,341
ER1_OFTM_C02397_P2Y3W2,384
ER1_OFTM_C02415_P2Y3W2,202
ER1_OFTM_C02416_P2Y3W2,243
ER1_OFTM_C02423_P2Y3W2,301
ER1_OFTM_C02425_P2Y3W2,311
ER1_OFTM_C02426_P2Y3W2,355
ER1_OFTM_C02434_P2Y3W2,308
ER1_OFTM_C02442_P2Y3W2,536
ER1_OFTM_C02443_P2Y3W2,328
ER1_OFTM_C02448_P2Y3W2,221
ER1_OFTM_C02449_P2Y3W2,263
ER1_OFTM_C02450_P2Y3W2,412
ER1_OFTM_C02475_P2Y3W2,365
ER1_OFTM_C02476_P2Y3W2,333
ER1_OFTM_C02478_P2Y3W2,531
ER1_OFTM_C02479_P2Y3W2,265
ER1_OFTM_C02481_P2Y3W2,288
ER1_OFTM_C02482_P2Y3W2,364
ER1_OFTM_C02483_P2Y3W2,172
ER1_OFTM_C02484_P2Y3W2,248
ER1_OFTM_C02488_P2Y3W2,206
ER1_OFTM_C02489_P2Y3W2,309
ER1_OFTM_C02492_P2Y3W2,194
ER1_OFTM_C02493_P2Y3W2,304
ER1_OFTM_C02496_P2Y3W2,257
ER1_OFTM_C02498_P2Y3W2,218
ER1_OFTM_C02502_P2Y3W2,178
ER1_OFTM_C02503_P2Y3W2,202
ER1_OFTM_C02506_P2Y3W2,261
ER1_OFTM_C02507_P2Y3W2,316
ER1_OFTM_C02551_P2Y3W2,344
ER1_OFTM_C02552_P2Y3W2,195
ER1_OFTM_C02576_P2Y3W2,257
ER1_OFTM_C02579_P2Y3W2,305
ER1_OFTM_C02588_P2Y3W2,230
ER1_OFTM_C02594_P2Y3W2,578
ER1_OFTM_C02596_P2Y3W2,276
ER1_OFTM_C02599_P2Y3W2,239
ER1_OFTM_C02619_P2Y3W2,310
ER1_OFTM_C02626_P2Y3W2,192
ER1_OFTM_C02637_P2Y3W2,286
ER1_OFTM_C02640_P2Y3W2,331
ER1_OFTM_C02645_P2Y3W2,156
ER1_OFTM_C02647_P2Y3W2,278
ER1_OFTM_C02651_P2Y3W2,211
ER1_OFTM_C02661_P2Y3W2,450
ER1_OFTM_C02663_P2Y3W2,281
ER1_OFTM_C02808_P2Y3W2,297
ER1_OFTM_C02834_P2Y3W2,309
ER1_OFTM_C03008_P2Y3W2,247
ER1_OFTM_C03012_P2Y3W2,220
ER2_FGTD_C00015_P2Y4W2,300
ER2_FGTD_C00020_P2Y4W2,314
ER2_FGTD_C00026_P2Y4W2,377
ER2_FGTD_C00027_P2Y4W2,447
ER2_FGTD_C00031_P2Y4W2,320
ER2_FGTD_C00048_P2Y4W2,242
ER2_FGTD_C00049_P2Y4W2,483
ER2_FGTD_C00055_P2Y4W2,354
ER2_FGTD_C00067_P2Y4W2,285
ER2_FGTD_C00077_P2Y4W2,272
ER2_FGTD_C00082_P2Y4W2,349
ER2_FGTD_C00090_P2Y4W2,341
ER2_FGTD_C00094_P2Y4W2,363
ER2_FGTD_C00119_P2Y4W2,391
ER2_FGTD_C00126_P2Y4W2,352
ER2_FGTD_C00127_P2Y4W2,500
ER2_FGTD_C00135_P2Y4W2,350
ER2_FGTD_C00137_P2Y4W2,487
ER2_FGTD_C00141_P2Y4W2,218
ER2_FGTD_C00146_P2Y4W2,328
ER2_FGTD_C00147_P2Y4W2,426
ER2_FGTD_C00148_P2Y4W2,273
ER2_FGTD_C00152_P2Y4W2,494
ER2_FGTD_C00172_P2Y4W2,261
ER2_FGTD_C00178_P2Y4W2,373
ER2_FGTD_C00179_P2Y4W2,389
ER2_FGTD_C00182_P2Y4W2,310
ER2_FGTD_C00183_P2Y4W2,560
ER2_FGTD_C00188_P2Y4W2,261
ER2_FGTD_C00189_P2Y4W2,210
ER2_FGTD_C00191_P2Y4W2,284
ER2_FGTD_C00192_P2Y4W2,233
ER2_FGTD_C00198_P2Y4W2,394
ER2_FGTD_C00201_P2Y4W2,244
ER2_FGTD_C00209_P2Y4W2,263
ER2_FGTD_C00226_P2Y4W2,397
ER2_FGTD_C00231_P2Y4W2,415
ER2_FGTD_C00235_P2Y4W2,357
ER2_FGTD_C00237_P2Y4W2,393
ER2_FGTD_C00275_P2Y4W2,502
ER2_FGTD_C00372_P2Y4W2,424
ER2_FGTD_C00375_P2Y4W2,518
ER2_FGTD_C00376_P2Y4W2,466
ER2_FGTD_C00379_P2Y4W2,354
ER2_FGTD_C00384_P2Y4W2,331
ER2_FGTD_C00388_P2Y4W2,393
ER2_FGTD_C00392_P2Y4W2,284
ER2_FGTD_C00393_P2Y4W2,411
ER2_FGTD_C00401_P2Y4W2,477
ER2_FGTD_C00409_P2Y4W2,392
ER2_FGTD_C00423_P2Y4W2,317
ER2_FGTD_C00433_P2Y4W2,283
ER2_FGTD_C00439_P2Y4W2,283
ER2_FGTD_C00445_P2Y4W2,298
ER2_FGTD_C00466_P2Y4W2,379
ER2_FGTD_C00476_P2Y4W2,338
ER2_FGTD_C00503_P2Y4W2,291
ER2_FGTD_C00507_P2Y4W2,341
ER2_FGTD_C00523_P2Y4W2,196
ER2_FGTD_C00552_P2Y4W2,212
ER2_FGTD_C00564_P2Y4W2,294
ER2_FGTD_C00589_P2Y4W2,426
ER2_FGTD_C00598_P2Y4W2,394
ER2_FGTD_C00600_P2Y4W2,341
ER2_FGTD_C00605_P2Y4W2,333
ER2_FGTD_C00633_P2Y4W2,291
ER2_FGTD_C00642_P2Y4W2,407
ER2_FGTD_C00652_P2Y4W2,366
ER2_FGTD_C00657_P2Y4W2,408
ER2_FGTD_C00672_P2Y4W2,566
ER2_FGTD_C00683_P2Y4W2,331
ER2_FGTD_C00692_P2Y4W2,328
ER2_FGTD_C00741_P2Y4W2,349
ER2_FGTD_C00748_P2Y4W2,363
ER2_FGTD_C00753_P2Y4W2,373
ER2_FGTD_C00790_P2Y4W2,290
ER2_FGTD_C00793_P2Y4W2,282
ER2_FGTD_C00826_P2Y4W2,269
ER2_FGTD_C00828_P2Y4W2,263
ER2_FGTD_C00837_P2Y4W2,245
ER2_FGTD_C00853_P2Y4W2,229
ER2_FGTD_C00857_P2Y4W2,292
ER2_FGTD_C00919_P2Y4W2,278
ER2_FGTD_C00931_P2Y4W2,318
ER2_FGTD_C00973_P2Y4W2,365
ER2_FGTD_C00976_P2Y4W2,346
ER2_FGTD_C00992_P2Y4W2,535
ER2_FGTD_C00999_P2Y4W2,409
ER2_FGTD_C01003_P2Y4W2,351
ER2_FGTD_C01006_P2Y4W2,345
ER2_FGTD_C01018_P2Y4W2,388
ER2_FGTD_C01031_P2Y4W2,137
ER2_FGTD_C01053_P2Y4W2,212
ER2_FGTD_C01056_P2Y4W2,0
ER2_FGTD_C01078_P2Y4W2,319
ER2_FGTD_C01094_P2Y4W2,263
ER2_FGTD_C01103_P2Y4W2,457
ER2_FGTD_C01104_P2Y4W2,299
ER2_FGTD_C01108_P2Y4W2,336
ER2_FGTD_C01121_P2Y4W2,356
ER2_FGTD_C01125_P2Y4W2,367
ER2_FGTD_C01127_P2Y4W2,312
ER2_FGTD_C01160_P2Y4W2,334
ER2_FGTD_C01162_P2Y4W2,289
ER2_FGTD_C01171_P2Y4W2,269
ER2_FGTD_C01185_P2Y4W2,262
ER2_FGTD_C01211_P2Y4W2,372
ER2_FGTD_C01222_P2Y4W2,540
ER2_FGTD_C01226_P2Y4W2,367
ER2_FGTD_C01262_P2Y4W2,348
ER2_FGTD_C01265_P2Y4W2,430
ER2_FGTD_C01294_P2Y4W2,181
ER2_FGTD_C01298_P2Y4W2,303
ER2_FGTD_C01336_P2Y4W2,485
ER2_FGTD_C02230_P2Y4W2,357
ER2_FGTD_C02232_P2Y4W2,261
ER2_FGTD_C02234_P2Y4W2,353
ER2_FGTD_C02239_P2Y4W2,233
ER2_FGTD_C02255_P2Y4W2,300
ER2_FGTD_C02262_P2Y4W2,297
ER2_FGTD_C02267_P2Y4W2,322
ER2_FGTD_C02274_P2Y4W2,253
ER2_FGTD_C02276_P2Y4W2,252
ER2_FGTD_C02278_P2Y4W2,216
ER2_FGTD_C02279_P2Y4W2,287
ER2_FGTD_C02282_P2Y4W2,440
ER2_FGTD_C02287_P2Y4W2,194
ER2_FGTD_C02295_P2Y4W2,294
ER2_FGTD_C02297_P2Y4W2,365
ER2_FGTD_C02315_P2Y4W2,301
