Filename,NTW.span
SR1_FGTD_C00022_P2Y4W2,168
SR1_FGTD_C00125_P2Y4W2,291
SR1_FGTD_C00142_P2Y4W2,248
SR1_FGTD_C00167_P2Y4W2,217
SR1_FGTD_C00445_P2Y3W2,112
SR1_FGTD_C00552_P2Y3W2,304
SR1_FGTD_C00589_P2Y3W2,244
SR1_FGTD_C01336_P2Y3W2,123
SR1_FGTD_C02277_P2Y4W2,114
SR1_FOHO_C00015_P2Y3W1,207
SR1_FOHO_C00020_P2Y3W1,268
SR1_FOHO_C00022_P2Y3W1,184
SR1_FOHO_C00026_P2Y3W1,133
SR1_FOHO_C00027_P2Y3W1,161
SR1_FOHO_C00031_P2Y3W1,232
SR1_FOHO_C00048_P2Y3W1,178
SR1_FOHO_C00049_P2Y3W1,521
SR1_FOHO_C00055_P2Y3W1,245
SR1_FOHO_C00067_P2Y3W1,298
SR1_FOHO_C00077_P2Y3W1,286
SR1_FOHO_C00082_P2Y3W1,325
SR1_FOHO_C00090_P2Y3W1,526
SR1_FOHO_C00094_P2Y3W1,290
SR1_FOHO_C00119_P2Y3W1,327
SR1_FOHO_C00125_P2Y3W1,214
SR1_FOHO_C00126_P2Y3W1,212
SR1_FOHO_C00127_P2Y3W1,285
SR1_FOHO_C00135_P2Y3W1,130
SR1_FOHO_C00137_P2Y3W1,324
SR1_FOHO_C00141_P2Y3W1,282
SR1_FOHO_C00142_P2Y3W1,242
SR1_FOHO_C00146_P2Y3W1,348
SR1_FOHO_C00147_P2Y3W1,423
SR1_FOHO_C00148_P2Y3W1,219
SR1_FOHO_C00152_P2Y3W1,340
SR1_FOHO_C00167_P2Y3W1,172
SR1_FOHO_C00172_P2Y3W1,287
SR1_FOHO_C00178_P2Y3W1,237
SR1_FOHO_C00179_P2Y3W1,372
SR1_FOHO_C00182_P2Y3W1,318
SR1_FOHO_C00183_P2Y3W1,437
SR1_FOHO_C00188_P2Y3W1,191
SR1_FOHO_C00189_P2Y3W1,152
SR1_FOHO_C00191_P2Y3W1,139
SR1_FOHO_C00192_P2Y3W1,193
SR1_FOHO_C00198_P2Y3W1,205
SR1_FOHO_C00201_P2Y3W1,210
SR1_FOHO_C00209_P2Y3W1,298
SR1_FOHO_C00226_P2Y3W1,143
SR1_FOHO_C00231_P2Y3W1,389
