parcel_numbers,is_significant,count_in_parcel,nvoxels_in_parcel,peak_labels,max_intersect_labels
1,1,22,747,unidentified,unidentified
2,1,22,1703,unidentified,unidentified
3,1,22,776,unidentified,unidentified
4,1,21,1088,unidentified,unidentified
5,1,22,858,unidentified,unidentified
6,1,22,385,unidentified,unidentified
7,1,22,567,unidentified,unidentified
8,1,22,549,unidentified,unidentified
9,0,15,99,Right_Inferior_Temporal_Gyrus_posterior_division,unidentified
10,1,22,278,unidentified,unidentified
11,0,17,80,unidentified,unidentified
12,1,19,127,unidentified,unidentified
13,1,20,70,unidentified,unidentified
14,1,20,418,unidentified,unidentified
15,1,19,65,Right_Inferior_Temporal_Gyrus_posterior_division,unidentified
16,1,20,481,unidentified,unidentified
17,1,19,102,unidentified,unidentified
18,0,17,281,unidentified,unidentified
19,1,18,157,unidentified,unidentified
20,1,21,226,unidentified,unidentified
21,0,17,158,unidentified,unidentified
22,0,15,90,unidentified,unidentified
23,0,14,282,unidentified,unidentified
24,0,12,36,unidentified,unidentified
25,0,14,119,unidentified,unidentified
26,0,16,101,unidentified,unidentified
27,0,15,96,unidentified,unidentified
28,1,21,226,unidentified,unidentified
29,0,10,66,unidentified,unidentified
30,0,16,184,unidentified,unidentified
31,0,10,40,unidentified,unidentified
32,0,12,90,unidentified,unidentified
33,0,15,59,Right_Frontal_Pole,unidentified
34,0,16,141,unidentified,unidentified
35,0,9,34,unidentified,unidentified
36,0,12,82,Right_Temporal_Pole,unidentified
37,0,12,39,unidentified,unidentified
38,0,12,87,unidentified,unidentified
39,0,11,61,unidentified,unidentified
40,0,14,112,unidentified,unidentified
41,0,15,100,unidentified,unidentified
42,0,13,43,unidentified,unidentified
43,0,9,53,Right_Parahippocampal_Gyrus_anterior_division,unidentified
44,0,10,40,unidentified,unidentified
45,0,10,40,unidentified,unidentified
46,0,12,102,unidentified,unidentified
47,0,10,36,unidentified,unidentified
48,0,9,47,unidentified,unidentified
49,0,9,62,unidentified,unidentified
50,0,8,34,unidentified,unidentified
51,0,15,75,unidentified,unidentified
52,0,12,30,unidentified,unidentified
53,0,8,12,unidentified,unidentified
54,0,8,30,unidentified,unidentified
55,0,15,61,unidentified,unidentified
56,0,15,55,unidentified,unidentified
57,0,9,12,unidentified,unidentified
58,0,12,46,unidentified,unidentified
59,0,8,9,unidentified,unidentified
60,1,18,33,Right_Occipital_Pole,unidentified
61,0,8,45,unidentified,unidentified
62,0,10,44,unidentified,unidentified
63,0,9,12,unidentified,unidentified
64,0,6,19,unidentified,unidentified
65,0,7,33,unidentified,unidentified
66,0,7,53,unidentified,unidentified
67,0,8,18,unidentified,unidentified
68,0,6,14,Right_Temporal_Fusiform_Cortex_anterior_division,unidentified
69,0,6,22,unidentified,unidentified
70,0,7,36,unidentified,unidentified
71,0,9,16,unidentified,unidentified
72,0,9,17,unidentified,unidentified
73,0,6,25,unidentified,unidentified
74,0,8,14,unidentified,unidentified
75,0,6,12,unidentified,unidentified
76,0,7,12,unidentified,unidentified
77,0,8,16,unidentified,unidentified
78,0,8,21,unidentified,unidentified
79,0,4,4,unidentified,unidentified
80,0,8,35,unidentified,unidentified
81,0,9,12,unidentified,unidentified
82,0,4,12,unidentified,unidentified
83,0,5,8,unidentified,unidentified
84,0,7,18,unidentified,unidentified
85,0,5,20,unidentified,unidentified
86,0,6,6,unidentified,unidentified
87,0,5,21,unidentified,unidentified
88,0,7,9,unidentified,unidentified
89,0,4,10,unidentified,unidentified
90,0,7,2,unidentified,unidentified
91,0,8,7,unidentified,unidentified
92,0,6,5,unidentified,unidentified
93,0,7,3,unidentified,unidentified
94,0,3,9,unidentified,unidentified
95,0,6,4,unidentified,unidentified
96,0,3,5,unidentified,unidentified
97,0,9,16,unidentified,unidentified
98,0,6,9,unidentified,unidentified
99,0,7,4,Left_Temporal_Pole,unidentified
100,0,5,4,Left_Inferior_Temporal_Gyrus_posterior_division,Left_Inferior_Temporal_Gyrus_posterior_division
101,0,4,9,unidentified,unidentified
102,0,5,5,unidentified,unidentified
103,0,8,3,unidentified,Left_VI
104,0,4,2,unidentified,unidentified
105,0,5,3,unidentified,unidentified
106,0,6,3,unidentified,unidentified
107,0,4,4,Right_Parahippocampal_Gyrus_anterior_division,unidentified
108,0,3,3,unidentified,unidentified
109,0,4,2,unidentified,unidentified
110,0,5,2,unidentified,unidentified
111,0,3,1,unidentified,unidentified
112,0,3,2,unidentified,unidentified
113,0,4,1,unidentified,unidentified
114,0,3,1,unidentified,Brain-Stem
115,0,3,1,unidentified,unidentified
116,0,4,1,unidentified,unidentified
117,0,4,1,unidentified,unidentified
118,0,3,1,unidentified,unidentified
119,0,5,1,unidentified,unidentified
120,0,3,1,unidentified,Right_Cerebral_Cortex
121,0,3,1,unidentified,unidentified
122,0,4,2,unidentified,unidentified
