parcel_1,parcel_2,parcel_3,parcel_4,parcel_5,parcel_6,parcel_7,parcel_8,parcel_9,parcel_11,parcel_12
-57.8856198116414,-50.6443055158406,-90.4685327451523,-63.9357834477578,-76.0643090661967,-134.7882389604,-61.4325157132065,-110.727618088593,-116.513777036925,-84.9757150861952,-120.943483734131
-155.577128975137,-178.984485328542,-162.196805039497,-270.449200537897,-159.823053252022,-243.605511113217,-342.454293033533,-252.633939382192,-180.327868693584,-176.965948104858,-206.677057495117
-72.2128727551803,-86.8941189429663,-61.0922366886923,-106.041478664644,-54.4182285092912,-94.1636412771125,-83.4758886956332,-92.4377560486665,-70.7852381113413,-66.9256728490194,-55.0527968215942
-109.331579115784,-94.6196517723833,-101.741640508991,-128.865723917561,-125.927907116008,-117.046254241676,-73.1303907193636,-147.051157203881,-89.2309804349332,-88.9862935596042,-100.863205795288
-63.9178182546375,-66.0587487165638,-44.1595913090118,-93.1356382062358,-51.8997129944136,-64.5758420542667,-65.7237667451825,-61.7907227696599,-49.3531400319692,-51.4848763042026,-76.8823369598389
-72.9591789523375,-72.4826609440622,-78.8513908778151,-138.27212549025,-38.7591372975763,-44.1630980173747,-84.1290601596498,-52.2140359105291,-59.2576447950827,-86.6365418328179,-49.3085031890869
-79.4222228040973,-100.885061363264,-80.4200199336222,-84.8609822796237,-203.915260872751,-148.716280351605,-113.902251578214,-98.7336558264655,-90.3844957093935,-47.9737988789876,-78.6296900939941
-71.1924974848923,-66.3907104833967,-123.350181919255,-79.7476399021764,-84.3899977342138,-89.4110333292108,-64.8028891379373,-105.602693609289,-121.265580667032,-84.5222211201986,-96.820255355835
-52.8983415122171,-56.3888957100797,-53.0554992205476,-52.9809999158306,-44.2014401903692,-78.2943782137151,-43.3581930294371,-51.7276285274609,-51.6823477873931,-71.5370257059733,-46.0535774803162
-80.2947737499348,-149.876696167654,-57.2746685367741,-160.924381748323,-35.5808299982323,-55.5323014259338,-35.7394628859403,-90.7891988496523,-109.270358111407,-64.1342222001818,-47.6828726959229
-66.889019618914,-54.0921693757779,-145.79058401552,-68.1947051632789,-89.8046462490874,-104.296011037994,-104.902551868506,-93.45245536598,-103.762701910895,-69.426239183214,-141.89113067627
-63.7527842475373,-47.658366638801,-48.4700814207939,-93.1668725167551,-30.0419213276989,-43.1851128862615,-46.607332062303,-37.470957034343,-46.4156248505051,-47.7855301751031,-44.339633140564
-45.006463333241,-40.7540128217267,-46.8888927093924,-55.195951461792,-36.2347108553041,-50.8935546205755,-30.8490214682462,-42.0646850482838,-64.5416775265255,-33.5861971961127,-59.142668838501
-68.0609795468525,-103.911753582817,-99.4943053363121,-123.636619198707,-64.5749390440167,-54.8923477039003,-77.8018166558784,-63.8838471077584,-82.9767409144221,-79.7137474060059,-64.2179317474365
-44.4717070246206,-57.6742292690828,-47.9702308210608,-53.6465401803294,-39.1657244844257,-43.8524827120597,-67.6162517949155,-59.0407231305097,-46.8732563740498,-42.0408999231127,-61.816649017334
-47.4515739135372,-52.6491805390815,-95.2697713930313,-86.061159933767,-65.0115661261217,-46.751096357379,-40.085746798599,-72.3934710992349,-72.8817848514866,-45.0537341859606,-45.9730193328857
-45.6033469126062,-30.7090729068469,-47.4481080852143,-22.1030946239348,-29.9591074439715,-40.7390368612189,-51.7145055469714,-41.5721315177711,-56.6460426433666,-22.68475033972,-26.1309021568298
-70.4686980340087,-97.379118555543,-76.2766252935749,-124.979799701322,-50.0745009116407,-45.1037888777883,-72.5415910754287,-54.8886854326403,-54.8615553056872,-87.3457288106283,-81.4401514434814
-55.4070188189016,-78.0749718440061,-94.0728535978761,-132.882741989628,-84.3966097741757,-102.628992933976,-113.835951754921,-80.9643825324806,-80.1473547961261,-88.3702010684543,-80.531311340332
-127.156493131397,-129.346227877402,-266.617572000582,-290.401630401611,-125.971618976233,-114.529104985689,-180.452398333633,-111.982794684333,-96.3282893928322,-155.685981220669,-285.162069396973
-84.4642680825539,-107.763086754463,-142.89712592347,-124.517787195021,-60.3398448116374,-66.8912503593846,-71.8686351943434,-76.4146440866831,-91.340189753352,-80.9948319117228,-121.650850982666
-52.0434361244868,-52.5566126569847,-51.7926944706538,-74.6352712569698,-50.2704263183306,-47.5317684307433,-49.2668652701796,-129.728247307442,-58.2113885106267,-36.9391229205661,-46.0451175689697
