parcel_numbers,is_significant,count_in_parcel,nvoxels_in_parcel,peak_labels,max_intersect_labels
1,1,12,144,unidentified,unidentified
2,0,9,164,unidentified,unidentified
3,0,9,120,unidentified,unidentified
4,1,11,89,unidentified,unidentified
5,1,11,103,unidentified,unidentified
6,1,12,129,Right_Temporal_Pole,unidentified
7,1,11,65,Right_Middle_Temporal_Gyrus_posterior_division,unidentified
8,0,8,30,unidentified,unidentified
9,1,11,107,Left_Inferior_Temporal_Gyrus_posterior_division,unidentified
10,0,8,29,unidentified,unidentified
11,0,8,25,Right_Lingual_Gyrus,unidentified
12,0,5,18,unidentified,unidentified
13,0,6,21,Right_Temporal_Pole,Right_Cerebral_Cortex
14,1,12,68,unidentified,unidentified
15,0,7,26,unidentified,unidentified
16,0,9,46,unidentified,unidentified
17,0,7,26,Right_Parahippocampal_Gyrus_anterior_division,unidentified
18,0,5,13,unidentified,unidentified
19,0,7,31,unidentified,unidentified
20,0,10,35,unidentified,unidentified
21,0,7,19,unidentified,unidentified
22,0,6,19,unidentified,unidentified
23,0,5,9,Left_Temporal_Occipital_Fusiform_Cortex,unidentified
24,0,5,14,unidentified,Right_Cerebral_Cortex
25,0,5,10,unidentified,unidentified
26,0,5,11,unidentified,unidentified
27,0,4,8,Right_Temporal_Occipital_Fusiform_Cortex,unidentified
28,0,8,9,unidentified,Left_Cerebral_Cortex
29,0,6,17,unidentified,unidentified
30,0,5,4,Left_Occipital_Pole,Right_Cerebral_Cortex
31,0,4,5,Right_Occipital_Pole,unidentified
32,0,6,9,Left_Lateral_Occipital_Cortex_inferior_division,unidentified
33,0,6,6,unidentified,unidentified
34,0,4,11,Left_Parahippocampal_Gyrus_posterior_division,unidentified
35,0,4,3,unidentified,Left_Cerebral_Cortex
36,0,5,7,unidentified,unidentified
37,0,5,9,unidentified,unidentified
38,0,4,5,unidentified,unidentified
39,0,4,5,unidentified,unidentified
40,0,3,3,unidentified,unidentified
41,0,4,2,unidentified,unidentified
42,0,4,1,unidentified,unidentified
43,0,4,1,Left_Lateral_Occipital_Cortex_inferior_division,Left_Lateral_Occipital_Cortex_inferior_division
44,0,4,2,unidentified,Right_VI
45,0,4,1,unidentified,unidentified
46,0,4,1,unidentified,Right_I_IV
47,0,3,1,unidentified,Right_Thalamus
48,0,3,1,unidentified,unidentified
49,0,4,1,unidentified,unidentified
50,0,3,1,Left_Middle_Temporal_Gyrus_anterior_division,Left_Middle_Temporal_Gyrus_anterior_division
