parcel_numbers,is_significant,count_in_parcel,nvoxels_in_parcel,peak_labels,max_intersect_labels
1,1,21,1032,Left_Superior_Temporal_Gyrus_anterior_division,Left_Superior_Temporal_Gyrus_posterior_division
2,1,22,1726,Left_Superior_Temporal_Gyrus_posterior_division,Left_Middle_Temporal_Gyrus_temporooccipital_part
3,1,21,728,Left_Temporal_Pole,Left_Temporal_Pole
4,1,22,305,Left_Superior_Temporal_Gyrus_posterior_division,Left_Superior_Temporal_Gyrus_posterior_division
5,1,21,534,Right_Superior_Temporal_Gyrus_posterior_division,Right_Superior_Temporal_Gyrus_posterior_division
6,1,21,569,Right_Superior_Temporal_Gyrus_anterior_division,Right_Superior_Temporal_Gyrus_posterior_division
7,1,20,568,Right_Middle_Temporal_Gyrus_posterior_division,Right_Middle_Temporal_Gyrus_temporooccipital_part
8,1,20,367,Right_Temporal_Pole,Right_Temporal_Pole
9,1,18,372,Right_Temporal_Pole,Right_Temporal_Pole
10,0,14,127,Left_Supramarginal_Gyrus_posterior_division,Left_Supramarginal_Gyrus_posterior_division
11,1,19,453,Left_Precentral_Gyrus,Left_Precentral_Gyrus
12,1,19,248,Left_Inferior_Frontal_Gyrus_pars_opercularis,Left_Inferior_Frontal_Gyrus_pars_opercularis
13,0,15,304,Left_Temporal_Fusiform_Cortex_posterior_division,Left_Inferior_Temporal_Gyrus_temporooccipital_part
14,0,13,101,Left_Lateral_Occipital_Cortex_inferior_division,Left_Inferior_Frontal_Gyrus_pars_triangularis
15,0,12,151,Left_Inferior_Frontal_Gyrus_pars_opercularis,Left_Inferior_Frontal_Gyrus_pars_opercularis
16,0,13,117,Left_Subcallosal_Cortex,Left_Temporal_Fusiform_Cortex_posterior_division
17,0,16,98,Left_Inferior_Frontal_Gyrus_pars_triangularis,Left_Inferior_Frontal_Gyrus_pars_triangularis
18,0,15,89,Left_Postcentral_Gyrus,Left_Temporal_Pole
19,0,13,266,Vermis_CrusII,Right_CrusII
20,0,12,92,Right_CrusII,Right_CrusII
21,0,8,72,Left_CrusII,Left_CrusII
22,0,10,53,Right_Inferior_Temporal_Gyrus_anterior_division,Right_Inferior_Temporal_Gyrus_anterior_division
23,0,12,19,Left_Parietal_Operculum_Cortex,Left_Parietal_Operculum_Cortex
24,0,9,86,Right_Postcentral_Gyrus,Left_Amygdala
25,0,8,50,Right_Amygdala,Right_Amygdala
26,0,8,22,Left_Amygdala,Left_Cerebral_White_Matter
27,0,6,35,Right_Amygdala,Right_Amygdala
28,0,8,35,Right_VIIIa,Right_VIIIa
29,0,10,37,Right_Inferior_Frontal_Gyrus_pars_triangularis,Right_Inferior_Frontal_Gyrus_pars_triangularis
30,0,7,24,Right_Inferior_Frontal_Gyrus_pars_opercularis,Right_Inferior_Frontal_Gyrus_pars_opercularis
31,0,6,9,Left_Inferior_Frontal_Gyrus_pars_opercularis,Left_Precentral_Gyrus
32,0,5,6,Right_Precentral_Gyrus,Right_Precentral_Gyrus
33,0,7,13,Left_Precuneous_Cortex,Left_Inferior_Temporal_Gyrus_posterior_division
34,0,3,20,Right_Inferior_Frontal_Gyrus_pars_opercularis,Right_Inferior_Frontal_Gyrus_pars_opercularis
35,0,4,14,Right_Temporal_Occipital_Fusiform_Cortex,Right_Temporal_Occipital_Fusiform_Cortex
36,0,5,4,Right_Supramarginal_Gyrus_posterior_division,Right_Supramarginal_Gyrus_posterior_division
37,0,4,2,Left_Middle_Frontal_Gyrus,Left_Middle_Frontal_Gyrus
38,0,6,4,Left_Precuneous_Cortex,Left_Cingulate_Gyrus_posterior_division
39,0,5,5,Left_Frontal_Pole,Left_Frontal_Pole
40,0,3,1,Right_Intracalcarine_Cortex,Right_Intracalcarine_Cortex
41,0,3,1,Left_VIIb,Left_VIIb
