subject_ID,Child.utterances,Parent.utterances,Child.VerbalUtt,Parent.VerbalUtt,Child.WC,Parent.WC,Elapsed.Time,Child.MLU,Parent.MLU,Child.Morphemes,Parent.Morphemes,Child.VerbUtt,Parent.VerbUtt,Child.avgverbs,Parent.avgverbs,Child.NTW,Parent.NTW,Child.NDW,Parent.NDW,Child.MTLutt,Parent.MTLutt,Child.MTLword,Parent.MTLword,Child.Question,Parent.Question,record_id
sllip_002,153,177,132,163,493,655,18.63,3.27,3.7,3.47,3.91,58.30%,56.40%,0.73,0.78,432,603,167,205,1.4,1.5,4.29,5.38,44.70%,28.10%,2
sllip_004,62,97,48,84,206,382,19.33,3.54,4,3.83,4.36,56.20%,72.60%,0.81,1.15,170,336,72,131,1.51,2.69,4.9,10.5,65.50%,66.70%,4
sllip_005,198,162,120,102,532,700,32.45,3.37,4.16,3.67,4.46,65.00%,57.80%,0.82,1,404,424,182,169,2.83,2.35,7.6,9.86,35.30%,46.90%,5
sllip_006,202,251,164,219,596,1227,20.53,3.21,4.65,3.44,5.14,43.90%,67.10%,0.62,1.04,526,1019,186,292,1.67,2.04,4.83,9.13,53.30%,47.40%,6
sllip_007,289,282,238,262,1120,1386,18.52,3.96,4.8,4.26,5.16,60.50%,66.00%,0.85,1.04,942,1257,258,312,1.77,1.69,6.66,8.02,67.10%,66.70%,7
sllip_008,227,219,175,202,819,908,20,3.75,4.13,4.19,4.53,64.60%,65.30%,0.81,0.96,657,835,190,247,1.57,1.54,5.58,6.3,65.20%,70.00%,8
sllip_009,52,95,38,80,202,502,16,3.97,5.12,4.16,5.47,65.80%,83.80%,0.92,1.26,151,410,85,158,1.62,2.79,6.22,14.32,35.50%,66.70%,9
sllip_010,216,388,167,360,614,1755,20.25,3.17,4.7,3.43,5.13,44.90%,69.40%,0.61,1.04,530,1693,193,364,1.14,2.03,3.04,9.02,55.70%,100%,10
sllip_011,178,272,138,241,477,1236,19.78,3.07,4.63,3.3,4.91,47.80%,72.20%,0.69,1.09,424,1115,173,300,1.46,2.14,3.89,9.31,57.90%,66.70%,11
sllip_013,76,177,56,156,310,740,8.12,4.11,4.37,4.34,4.67,69.60%,76.90%,0.96,1.13,230,681,116,206,1.23,2.81,4.68,11.3,47.40%,100%,13
sllip_014,71,91,58,72,319,437,17.2,4.76,4.85,4.83,4.89,67.20%,73.60%,1.12,1.17,276,349,132,146,1.97,2.46,8.86,11.46,40.00%,44.40%,14
sllip_015,122,332,114,316,477,1673,19.42,3.93,5.09,4.14,5.46,57.00%,71.50%,0.78,1.11,448,1607,167,407,1.3,3.61,5.01,17.84,37.50%,91.70%,15
sllip_016,124,107,98,106,530,512,14.08,4.76,4.7,5.1,5.08,78.60%,68.90%,1.09,1.04,466,498,181,169,1.68,1.47,6.93,6.84,63.60%,89.50%,16
sllip_017,60,124,51,120,174,640,15.12,3.06,5.18,3.16,5.3,49.00%,74.20%,0.61,1.25,156,621,87,220,1.22,2.53,3.55,13.06,52.90%,100%,17
sllip_018,136,189,121,174,486,938,16.2,3.5,5,3.64,5.17,44.60%,69.00%,0.6,0.98,423,870,200,269,1.43,2.01,4.73,9.8,64.90%,75.00%,18
sllip_019,171,161,140,156,760,819,18.88,4.49,4.98,4.77,5.37,60.70%,65.40%,0.92,0.96,628,777,211,285,1.82,1.59,7.98,7.9,58.10%,62.50%,19
sllip_022,195,125,160,94,570,450,16,3,4.02,3.08,4.2,51.90%,61.70%,0.64,0.85,480,378,197,170,2.32,1.45,6.79,5.23,71.40%,60.00%,22
sllip_023,175,169,140,156,789,962,19.37,4.76,5.51,5.21,6.01,59.30%,69.90%,0.94,1.18,666,860,237,304,1.67,1.62,7.14,8.9,71.10%,72.70%,23
sllip_024,122,126,101,115,467,525,9.65,3.83,4.39,4.21,4.83,64.40%,71.30%,0.87,1.03,387,505,140,178,1.67,1.73,6.27,7.11,77.10%,73.70%,24
sllip_025,114,102,91,97,419,395,18.52,3.95,4.04,4.14,4.32,57.10%,58.80%,0.8,0.91,359,392,146,151,1.52,1.38,5.45,5.34,85.40%,70.60%,25
sllip_026,94,127,78,113,350,542,15.77,3.51,4.49,3.79,4.96,56.40%,70.80%,0.81,1.09,274,507,124,187,1.45,1.72,5.05,7.23,63.90%,87.50%,26
sllip_027,157,94,96,81,399,326,19.37,2.34,3.65,2.59,4.07,49.00%,66.70%,0.56,0.95,225,296,99,133,2.15,1.29,5.4,4.47,89.50%,72.70%,27
sllip_029,114,130,85,117,328,657,16.58,3.09,5.21,3.25,5.8,58.80%,80.30%,0.8,1.3,263,610,127,196,1.73,1.94,4.86,9.69,58.80%,55.60%,29
sllip_030,105,147,94,143,360,571,8.37,3.3,3.9,3.38,4.06,54.30%,65.00%,0.69,0.87,310,558,149,244,1.44,1.99,4.93,7.72,69.20%,81.80%,30
sllip_032,172,141,128,126,723,626,14.75,4.09,4.55,4.29,4.85,69.50%,70.60%,0.93,1.06,523,573,183,210,1.62,1.36,6.25,5.94,79.50%,57.10%,32
sllip_035,154,147,132,134,633,520,16.08,3.73,3.59,4.17,3.96,72.70%,61.90%,0.92,0.83,492,481,173,171,1.66,1.52,6,5.11,70.60%,64.00%,35
sllip_037,135,213,118,193,422,1090,16.68,3.03,5.14,3.31,5.48,49.20%,71.50%,0.66,1.08,357,992,147,265,1.31,2.01,3.74,10.01,62.20%,88.90%,37
sllip_038,122,168,101,151,369,768,14.83,3.06,4.7,3.32,5.09,54.50%,69.50%,0.69,1.15,309,710,139,237,1.45,2.05,4.39,9.37,51.20%,40.00%,38
sllip_039,238,259,187,222,951,1056,14.48,4.03,3.96,4.36,4.28,62.60%,63.50%,0.8,0.85,754,879,214,243,1.49,1.63,5.57,6.31,68.80%,59.10%,39
sllip_040,21,47,15,40,83,255,3.62,4.4,5.47,4.73,5.9,73.30%,67.50%,1,1.12,66,219,50,103,1.11,1.96,4.32,9.88,66.70%,85.70%,40
sllip_041,70,119,54,112,285,492,14.33,4.17,4.14,4.43,4.42,66.70%,66.10%,1.02,0.96,225,464,114,186,1.19,1.65,4.49,6.81,42.90%,85.70%,41
sllip_042,195,260,162,250,708,1119,14.73,3.36,4.21,3.59,4.49,61.10%,70.40%,0.79,1.02,545,1053,191,270,1.35,1.77,4.4,7.37,67.40%,87.50%,42
sllip_046,139,121,107,107,533,496,14.07,3.93,4.1,4.41,4.44,66.40%,62.60%,0.91,0.88,421,439,185,191,2.04,1.61,7.66,6.51,67.70%,61.50%,46
