bin1_Thematic_F1,bin1_Thematic_FZ,bin1_Thematic_F2,bin1_Thematic_FC1,bin1_Thematic_FCZ,bin1_Thematic_FC2,bin1_Thematic_C1,bin1_Thematic_CZ,bin1_Thematic_C2,Thematic ,bin2_Not_Related__F1,bin2_Not_Related__FZ,bin2_Not_Related__F2,bin2_Not_Related__FC1,bin2_Not_Related__FCZ,bin2_Not_Related__FC2,bin2_Not_Related__C1,bin2_Not_Related__CZ,bin2_Not_Related__C2,Not Related,bin3_Category_F1,bin3_Category_FZ,bin3_Category_F2,bin3_Category_FC1,bin3_Category_FCZ,bin3_Category_FC2,bin3_Category_C1,bin3_Category_CZ,bin3_Category_C2,Category,Related
0.75,0.31,1.43,0.21,-0.18,-0.6,-1.02,-1.13,-1.24,-0.163333333,1.4,0.78,3.52,-0.07,-0.03,0.17,-1.54,-1.35,-1.21,0.185555556,-2.77,-2.03,-1.26,-1.68,-1.66,-1.4,-0.56,-0.96,-0.71,-1.447777778,-0.805555556
0.56,0.44,0.3,-0.27,-0.14,0.24,0.18,0.03,0.01,0.15,0.15,-0.72,-0.54,-1.32,-0.58,-0.32,0.16,-0.1,-0.22,-0.387777778,-1.33,-1.13,-1.47,0,-0.58,-0.95,-0.66,-0.38,-0.88,-0.82,-0.335
-3.34,-1.43,-2.98,-2.97,-2.24,-1.91,-1.8,-0.68,-1.42,-2.085555556,1.56,2.04,1.12,0.82,0.5,0.89,0.35,0.32,0.51,0.901111111,0.9,0.64,-0.01,1.07,1.69,1.07,-0.34,0.72,1.11,0.761111111,-0.662222222
-1.14,-0.78,-1.34,-0.63,-0.41,-0.01,-0.29,0.18,0.06,-0.484444444,-0.5,0.54,0.48,-2.17,-0.97,-0.51,-1.6,-0.54,-1.55,-0.757777778,-0.4,1.38,1.49,-1.17,-1.06,0.16,-1.44,-0.32,0.4,-0.106666667,-0.295555556
-1.44,-0.92,-1.8,-1.61,-0.8,-1.53,-1.45,-1.1,-1.43,-1.342222222,-1.97,-0.47,-0.12,-2.15,-1.08,-1.04,-1.87,-2.35,-1.5,-1.394444444,0.57,1.9,0.63,0.68,2.2,0.3,-0.89,-0.38,-0.28,0.525555556,-0.408333333
1.61,1.38,0.65,0.86,1.01,-0.21,0.49,0.67,-0.22,0.693333333,0.92,1.48,0.01,0.14,1.1,1.4,-0.2,0.05,-0.53,0.485555556,-0.18,-0.41,0.3,-0.47,-1.45,-1.8,-1.47,-0.66,-1.5,-0.848888889,-0.077777778
-0.21,-0.23,-0.43,-0.09,-0.2,-0.56,-0.41,-0.05,-0.36,-0.282222222,-0.33,-0.27,-0.34,-0.01,-0.07,0.17,-0.04,0.04,0,-0.094444444,-0.44,-0.37,-0.63,-0.15,-0.27,-0.27,-0.28,0.07,-0.05,-0.265555556,-0.273888889
-0.4,-0.6,-0.42,-0.39,-0.25,-0.46,-0.3,-1.52,-0.82,-0.573333333,-0.51,-0.75,-0.42,-0.42,-0.05,-0.36,-0.29,-0.95,-0.52,-0.474444444,-0.49,-0.83,-0.56,-0.54,-0.79,-0.5,-0.22,-1.44,-0.82,-0.687777778,-0.630555556
-1.04,-1.22,0.28,-0.3,0.27,1.44,0.11,1.06,0.31,0.101111111,0.01,-0.25,-1.24,-0.7,-1.44,-2.32,-0.61,-0.94,-0.48,-0.885555556,0.12,-0.09,-1.27,-0.34,-1.07,-2.27,-0.74,-0.92,-0.16,-0.748888889,-0.323888889
0.88,0.86,0.48,0.38,0.41,-0.43,-0.11,-0.1,-0.35,0.224444444,-0.38,0.24,-0.08,-0.37,-0.25,0.05,-0.24,-0.29,0.23,-0.121111111,0.49,1,0.83,0.35,0.42,0.39,0.17,-0.38,0.1,0.374444444,0.299444444
-0.05,0.04,0.03,0.45,-0.09,-0.33,-0.03,0.01,-0.06,-0.003333333,-0.19,-0.02,-0.25,-0.12,-0.09,-0.56,-0.4,-0.02,-0.05,-0.188888889,1.71,1.65,1.03,0.63,0.81,-0.45,0.48,0.72,0.75,0.814444444,0.405555556
